"类型";"字"
0;"李"
0;"王"
0;"张"
0;"刘"
0;"陈"
0;"杨"
0;"赵"
0;"黄"
0;"周"
0;"吴"
0;"徐"
0;"孙"
0;"胡"
0;"朱"
0;"高"
0;"林"
0;"何"
0;"郭"
0;"马"
0;"罗"
1;"梁"
1;"宋"
1;"郑"
1;"谢"
1;"韩"
1;"唐"
1;"冯"
1;"于"
1;"董"
1;"萧"
1;"程"
1;"曹"
1;"袁"
1;"邓"
1;"许"
1;"傅"
1;"沈"
1;"曾"
1;"彭"
1;"吕"
2;"苏"
2;"卢"
2;"蒋"
2;"蔡"
2;"贾"
2;"丁"
2;"魏"
2;"薛"
2;"叶"
2;"阎"
2;"余"
2;"潘"
2;"杜"
2;"戴"
2;"夏"
2;"钟"
2;"汪"
2;"田"
2;"任"
2;"姜"
2;"范"
2;"方"
2;"石"
2;"姚"
2;"谭"
2;"廖"
2;"邹"
2;"熊"
2;"金"
2;"陆"
2;"郝"
2;"孔"
2;"白"
2;"崔"
2;"康"
2;"毛"
2;"邱"
2;"秦"
2;"江"
2;"史"
2;"顾"
2;"侯"
2;"邵"
2;"孟"
2;"龙"
2;"万"
2;"段"
2;"曹"
2;"钱"
2;"汤"
2;"尹"
2;"黎"
2;"易"
2;"常"
2;"武"
2;"乔"
2;"贺"
2;"赖"
2;"龚"
2;"文"
3;"支"
3;"余"
3;"贲"
3;"赵"
3;"慕"
3;"巫"
3;"太叔"
3;"方"
3;"诸"
3;"元"
3;"邓"
3;"孙"
3;"萧"
3;"乔"
3;"尉迟"
3;"柳"
3;"朱"
3;"卜"
3;"单"
3;"李"
3;"姚"
3;"燕"
3;"东方"
3;"叶"
3;"尤"
3;"顾"
3;"杭"
3;"周"
3;"邵"
3;"牧"
3;"诸葛"
3;"唐"
3;"许"
3;"穆"
3;"洪"
3;"郑"
3;"狄"
3;"侯"
3;"夏侯"
3;"吕"
3;"尹"
3;"包"
3;"王"
3;"宋"
3;"秋"
3;"欧阳"
3;"曹"
3;"堪"
3;"诸"
3;"冯"
3;"庞"
3;"仲"
3;"皇甫"
3;"严"
3;"汪"
3;"左"
3;"陈"
3;"叶"
3;"宫"
3;"上官"
3;"华"
3;"祁"
3;"石"
3;"卫"
3;"阮"
3;"宁"
3;"司马"
3;"孟"
3;"丁"
3;"车"
3;"陶"
3;"禹"
3;"崔"
3;"蒋"
3;"郦"
3;"仇"
3;"司空"
3;"姜"
3;"屈"
3;"吉"
3;"沈"
3;"童"
3;"祖"
3;"鲜于"
3;"柏"
3;"项"
3;"钮"
3;"韩"
3;"颜"
3;"武"
3;"长孙"
3;"段"
3;"濮阳"
3;"章"
3;"董"
3;"龚"
3;"杨"
3;"白"
3;"轩辕"
3;"潘"
3;"粱"
3;"程"
3;"秦"
3;"韶"
3;"闾丘"
3;"彭"
3;"罗"
3;"荣"
3;"何"
3;"郜"
3;"东郭"
3;"昌"
3;"席"
3;"荀"
3;"施"
3;"蔺"
3;"令狐"
3;"马"
3;"阎"
3;"羊"
3;"孔"
3;"徐"
3;"淳于"
3;"酆"
3;"贾"
3;"於"
3;"魏"
3;"邱"
3;"南宫"
3;"鲍"
3;"江"
3;"惠"
3;"戚"
3;"闵"
3;"百里"
3;"岑"
3;"黎"
3;"甄"
3;"谢"
3;"樊"
3;"单于"
3;"雷"
3;"鄂"
3;"魏"
3;"邹"
3;"温"
3;"宇文"
3;"汤"
3;"夏"
3;"家"
3;"卓"
3;"凌"
3;"赫连"
3;"滕"
3;"高"
3;"封"
3;"窦"
3;"霍"
3;"乐正"
3;"聂"
3;"蔡"
